Nº OCORRÊNCIA;DATA DO FATO;HORA DO FATO;OBJETO;AÇAO ;UF;MUNICIPIO;BAIRRO;LOGRADOURO;TIPO DE LOCAL
49838192;01/01/2023;00:05:00;APARELHOS TELEFONICOS;ROUBADO;ES;GUARAPARI;PRAIA DO MORRO;AVENIDA BEIRA MAR;OUTRO LOCAL
49838656;01/01/2023;04:17:00;VEICULO;FURTADO;ES;SANTA MARIA DE JETIBA;ALTOS SEBASTIAO;ROD. KURT CARL LUDWIG KERCKHOFF;VIA PUBLICA
49840685;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;VILA VELHA;ITAPOA;RUA JAIME DUARTE DO NASCIMENTO;VIA PUBLICA
49841493;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;AV SAO PAULO;VIA PUBLICA
49841640;01/01/2023;13:36:00;APARELHOS TELEFONICOS;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49841640;01/01/2023;13:36:00;VEICULO;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49842465;01/01/2023;14:30:00;VEICULO;FURTADO;ES;SAO MATEUS;GURIRI;AV OCEANO ATLANTICO;VIA PUBLICA
49842613;01/01/2023;16:11:00;VEICULO;ROUBADO;ES;ARACRUZ;BARRA DO SAHY;AV ADEMAR DOS REIS;VIA PUBLICA
49842731;01/01/2023;01:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;ENSEADA DE JACARAIPE;RUA ABIDO SAADE;VIA PUBLICA
49844377;01/01/2023;20:00:00;VEICULO;ROUBADO;ES;GUARAPARI;AMARELO;NAO INFORMADA;RESIDÊNCIA
49845009;01/01/2023;20:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ARIBIRI;Sem InformaçAo;VIA PUBLICA
49845417;01/01/2023;21:15:00;VEICULO;FURTADO;ES;VILA VELHA;PRAIA DE ITAPARICA;AV ESTUD JOSE JULIO DE SOUZA;VIA PUBLICA
49846038;01/01/2023;20:00:00;VEICULO;ROUBADO;ES;SERRA;ELDORADO;RUA RIO SAO FRANCISCO;VIA PUBLICA
49846902;01/01/2023;19:00:00;VEICULO;ROUBADO;ES;CARIACICA;SAO FRANCISCO;RUA DOS FOX MARIANE;VIA PUBLICA
49848277;01/01/2023;13:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;AV FERNANDO FERRARI;VEICULO
49848277;01/01/2023;13:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;AV FERNANDO FERRARI;VEICULO
49848908;01/01/2023;09:20:00;VEICULO;FURTADO;ES;MARATAIZES;CENTRO;AV. GOV. FRANCISCO L. DE AGUIAR;VIA PUBLICA
49848959;01/01/2023;16:30:00;VEICULO;FURTADO;ES;SOORETAMA;CONJUNTO DALVO LOUREIRO;AV ANGELO SUZANO;OUTRO LOCAL
49849141;01/01/2023;16:00:00;APARELHOS TELEFONICOS;FURTADO;ES;GUACUI;CENTRO;RUA GUELMAR VALADARES;VIA PUBLICA
49849296;01/01/2023;03:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;AV. DR. OLIVIO LIRA;VIA PUBLICA
49849306;01/01/2023;01:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;CASTELANDIA;AVENIDA ABDO SAAD;VIA PUBLICA
49849334;01/01/2023;00:13:00;APARELHOS TELEFONICOS;ROUBADO;ES;CONCEICAO DA BARRA;ITAUNAS;Sem InformaçAo;OUTRO LOCAL
49849353;01/01/2023;12:30:00;APARELHOS TELEFONICOS;FURTADO;ES;CONCEICAO DA BARRA;OUTRO LOCAL;Sem InformaçAo;OUTRO LOCAL
49849391;01/01/2023;01:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;NOS FESTEJOS DE FIM DE ANO;OUTRO LOCAL
49849555;01/01/2023;07:53:00;APARELHOS TELEFONICOS;FURTADO;ES;RIO BANANAL;SAO JORGE DO TIRADENTES;TREVO TAMANINI;RESIDÊNCIA
49849670;01/01/2023;12:40:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;GURIGICA;RUA MARIA PAIXAO SANTOS;COMERCIO
49849685;01/01/2023;04:30:00;BICICLETA;FURTADO;ES;VITORIA;FRADINHOS;RUA JOSE MALTA;RESIDÊNCIA
49849702;01/01/2023;09:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;MARUIPE;TRABALHO( FARMACIA);COMERCIO
49849716;01/01/2023;09:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;MARUIPE;AVENIDA MARUIPE;COMERCIO
49849822;01/01/2023;07:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;Sem InformaçAo;VIA PUBLICA
49849911;01/01/2023;03:00:00;VEICULO;FURTADO;ES;ITAPEMIRIM;ITAOCA;AVENIDA ATLANTICA;VIA PUBLICA
49849915;01/01/2023;02:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINE;VIA PUBLICA
49850075;01/01/2023;07:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;MARIO CYPRESTE;Sem InformaçAo;OUTRO LOCAL
49850147;01/01/2023;03:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;MANGUINHOS;AV. ATAPOA;CASA DE SHOW/EVENTOS
49850424;01/01/2023;00:10:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;PRAIA DO MORRO;RUA BELO HORIZONTE;RESIDÊNCIA
49850633;01/01/2023;22:40:00;VEICULO;ROUBADO;ES;VILA VELHA;IBES;PRAÇA ASSIS CHATOBRIAN;VIA PUBLICA
49850705;01/01/2023;02:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;MARATAIZES;CENTRO;Sem InformaçAo;VIA PUBLICA
49850902;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49850902;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49851135;01/01/2023;05:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;SAO FRANCISCO;Sem InformaçAo;VIA PUBLICA
49851149;01/01/2023;03:00:00;BICICLETA;FURTADO;ES;GUARAPARI;SANTA MONICA;AV AGUAS MARINHAS;RESIDÊNCIA
49851224;01/01/2023;17:00:00;APARELHOS TELEFONICOS;FURTADO;ES;ANCHIETA;ANCHIETA;QUADRA POLIESPORTIVA;VIA PUBLICA
49851347;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;MATA DA PRAIA;AV DANTE MICHELINE;VIA PUBLICA
49851546;01/01/2023;01:12:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;PRAIA DO MORRO;PRAIA;OUTRO LOCAL
49851657;01/01/2023;20:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;COLINA DE LARANJEIRAS;Av. Eldes Scherrer Souza;VIA PUBLICA
49851975;01/01/2023;02:30:00;VEICULO;FURTADO;ES;SERRA;ELDORADO;RUA RIO BRANCO;VEICULO
49852053;01/01/2023;09:30:00;VEICULO;FURTADO;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA
49852194;01/01/2023;23:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;BOA VISTA;AV JOAO XXIII;VIA PUBLICA
49852257;01/01/2023;12:00:00;VEICULO;FURTADO;ES;VILA VELHA;RIVIERA DA BARRA;AV COLATINA;RESIDÊNCIA
49852392;01/01/2023;22:23:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;SERRA CENTRO;Sem InformaçAo;VIA PUBLICA
49852868;01/01/2023;09:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;CENTRO;RUA FILOMENO RIBEIRO;VIA PUBLICA
49858145;01/01/2023;03:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;RUA ANISIO FERNANDES COELHO;VIA PUBLICA
49858837;01/01/2023;05:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;CENTRAL CARAPINA;RUA CEARA;VIA PUBLICA
49859669;01/01/2023;19:04:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;NOVA CARAPINA I;BR 101;RODOVIA ESTADUAL
49860261;01/01/2023;01:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;MATA DA PRAIA;AV DANTE MICHELINE;VIA PUBLICA
49860368;01/01/2023;Indeterminada;BICICLETA;FURTADO;ES;JERONIMO MONTEIRO;ZONA RURAL;FAZENDA LUSITANIA;VIA PUBLICA
49861254;01/01/2023;02:29:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;PRAIA DA COSTA;Sem InformaçAo;OUTRO LOCAL
49862372;01/01/2023;Indeterminada;BICICLETA;FURTADO;ES;SAO MATEUS;GURIRI;RUA TREZE;RESIDÊNCIA
49867461;01/01/2023;16:16:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;CARIACICA SEDE;Sem InformaçAo;OUTRO LOCAL
49868945;01/01/2023;10:00:00;APARELHOS TELEFONICOS;FURTADO;ES;CARIACICA;OUTRO LOCAL;Sem InformaçAo;OUTRO LOCAL
49869270;01/01/2023;04:00:00;APARELHOS TELEFONICOS;FURTADO;ES;MARATAIZES;BARRA DE ITAPEMIRIM;AV RUBENS RANGEL;VIA PUBLICA
49869596;01/01/2023;01:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;JARDIM DA PENHA;RUA MARQUES DE OLINDA;RESIDÊNCIA
49877150;01/01/2023;07:20:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ITAPOA;AVENIDA FORTALEZA;VIA PUBLICA
49877166;01/01/2023;20:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ITAPOA;AV ESTUDANTE JOSE JULIO DE SOUZA;VIA PUBLICA
49877172;01/01/2023;22:34:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;COQUEIRAL DE ITAPARICA;Sem InformaçAo;VIA PUBLICA
49877182;01/01/2023;15:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ITAPOA;Sem InformaçAo;OUTRO LOCAL
49877200;01/01/2023;08:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ITAPOA;Sem InformaçAo;VIA PUBLICA
49877667;01/01/2023;16:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SAO JOSE DO CALCADO;JACA;PRAÇA DO JACA;VIA PUBLICA
49877696;01/01/2023;19:00:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;SANTA MONICA;PRAIA DE SANTA MONICA;OUTRO LOCAL
49878453;01/01/2023;17:40:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;JARDIM DA PENHA;RUA AMELIA TARTUCE NASSER;COMERCIO
49878613;01/01/2023;03:20:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DE ITAPARICA;RUA ITAOCA;VIA PUBLICA
49879276;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;LINHARES;LINHARES V;Sem InformaçAo;COMERCIO
49887985;01/01/2023;06:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;PARQUE JACARAIPE;AV NOSSA SENHORA DOS NAVEGANTES;OUTRO LOCAL
49911968;01/01/2023;22:29:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;CENTRO;Sem InformaçAo;VIA PUBLICA
49912327;01/01/2023;12:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;ILHA DO PRINCIPE;Sem InformaçAo;VIA PUBLICA
49914656;01/01/2023;11:20:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;CIDADE CONTINENTAL;RUA MINDANAO;VIA PUBLICA
49916470;01/01/2023;01:00:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;PORTO GRANDE;Sem InformaçAo;CASA DE SHOW/EVENTOS
49921078;01/01/2023;04:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;FUNDAO;PRAIA GRANDE;ES-010;VIA PUBLICA
49921156;01/01/2023;03:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;FUNDAO;PRAIA GRANDE;ES-010 PRAIA GRANDE, FUNDAO;VIA PUBLICA
49922949;01/01/2023;01:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;OUTRO LOCAL
49924218;01/01/2023;15:00:00;APARELHOS TELEFONICOS;FURTADO;ES;IUNA;PERDICAO;ESTRADA RURAL;RESIDÊNCIA
49932619;01/01/2023;19:14:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;NOVA CARAPINA I;BR 101 , PONTO DE NOVA CARAPINA, SERRA;VEICULO
49939315;01/01/2023;03:10:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;JARDIM MARILANDIA;RUA GRANDE VITORIA;RESIDÊNCIA
49941822;01/01/2023;03:00:00;APARELHOS TELEFONICOS;FURTADO;ES;MARATAIZES;BOA VISTA;ROD. DO SOL;CASA DE SHOW/EVENTOS
49951460;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;CARIACICA;BELA AURORA;AV EXPIRITO SANTO;VIA PUBLICA
49974935;01/01/2023;07:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ITAPOA;JAIR DE ANDRADE;VIA PUBLICA
49986417;01/01/2023;10:00:00;APARELHOS TELEFONICOS;FURTADO;ES;CONCEICAO DA BARRA;VILA DOS PESCADORES;RUA 17 DE ABRIL;RESIDÊNCIA
49998069;01/01/2023;01:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINE;VIA PUBLICA
50006478;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;AEROPORTO;Sem InformaçAo;COMERCIO
50024341;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;CACHOEIRO DE ITAPEMIRIM;CENTRO;PCA PEDRO CUEVAS JUNIOR;VIA PUBLICA
50129721;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;COLATINA;CENTRO;Sem InformaçAo;COMERCIO
50129804;01/01/2023;14:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;NOVA ROSA DA PENHA;Sem InformaçAo;VEICULO
50356184;01/01/2023;02:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;CONJUNTO JACARAIPE;AVENIDA JACARAIPE;VIA PUBLICA
50627837;01/01/2023;08:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;ROTATORIA DO O - HOSPITAL DORIO SILVA;VIA PUBLICA
50970751;01/01/2023;09:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;BARRA DO JUCU;AGENOR LARANJA;RESIDÊNCIA
51118345;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;SERRA;SERRA DOURADA II;RUA CACIPORE;VIA PUBLICA
51264877;01/01/2023;12:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;BARRA DO JUCU;AGENOR LARANJA;RESIDÊNCIA
51783265;01/01/2023;23:45:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;BARRA DO JUCU;Sem InformaçAo;CASA DE SHOW/EVENTOS
49846858;02/01/2023;01:39:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;GURIRI;AVENIDA OCEANO ATLANTICO;VIA PUBLICA
49846858;02/01/2023;01:39:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;GURIRI;AVENIDA OCEANO ATLANTICO;VIA PUBLICA
49848389;02/01/2023;06:10:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;NOVA ROSA DA PENHA;Sem InformaçAo;VIA PUBLICA
49848567;02/01/2023;05:15:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;TABAJARA;RUA JOAO REINHOLS BOONE;VIA PUBLICA
49848725;02/01/2023;05:15:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;SAO FRANCISCO;Sem InformaçAo;VIA PUBLICA
49848836;02/01/2023;03:40:00;BICICLETA;ROUBADO;ES;VILA VELHA;GLORIA;Sem InformaçAo;VIA PUBLICA
49848906;02/01/2023;08:15:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;RUA SAO PAULO;VIA PUBLICA
49849137;02/01/2023;05:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;MORADA DE SANTA FE;RUA PADRE GABRIEL;VIA PUBLICA
49849238;02/01/2023;10:09:00;APARELHOS TELEFONICOS;FURTADO;ES;MARECHAL FLORIANO;CENTRO;BR262;VIA PUBLICA
49849238;02/01/2023;10:09:00;APARELHOS TELEFONICOS;FURTADO;ES;MARECHAL FLORIANO;CENTRO;BR262;VIA PUBLICA
49849238;02/01/2023;10:09:00;APARELHOS TELEFONICOS;FURTADO;ES;MARECHAL FLORIANO;CENTRO;BR262;VIA PUBLICA
49849238;02/01/2023;10:09:00;APARELHOS TELEFONICOS;FURTADO;ES;MARECHAL FLORIANO;CENTRO;BR262;VIA PUBLICA
49849238;02/01/2023;10:09:00;APARELHOS TELEFONICOS;FURTADO;ES;MARECHAL FLORIANO;CENTRO;BR262;VIA PUBLICA
49849835;02/01/2023;06:39:00;APARELHOS TELEFONICOS;ROUBADO;ES;CACHOEIRO DE ITAPEMIRIM;IBITIQUARA;RUA EDUARDO GOMES;VIA PUBLICA
49850066;02/01/2023;07:10:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;CENTRO;PRINCESA ISABEL;VIA PUBLICA
49850078;02/01/2023;07:10:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;CENTRO;AV. ELIAS MIGUEL;VIA PUBLICA
49850121;02/01/2023;03:40:00;BICICLETA;FURTADO;ES;VILA VELHA;PRAIA DA COSTA;AVENIDA ANTONIO GIL VELOSO;RESIDÊNCIA
49850135;02/01/2023;03:40:00;BICICLETA;FURTADO;ES;VILA VELHA;PRAIA DA COSTA;AV ANTO GIL VELOSO;RESIDÊNCIA
49850151;02/01/2023;09:00:00;APARELHOS TELEFONICOS;FURTADO;ES;IUNA;QUILOMBO;ASTROGILDO SILVEIRA;RESIDÊNCIA
49850281;02/01/2023;03:50:00;BICICLETA;FURTADO;ES;VILA VELHA;PRAIA DA COSTA;RUA ROMERO LOFEGO;RESIDÊNCIA
49850498;02/01/2023;08:40:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;JARDIM MARILANDIA;RUA OCTAVIO BORIN;RESIDÊNCIA
49850498;02/01/2023;08:40:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;JARDIM MARILANDIA;RUA OCTAVIO BORIN;RESIDÊNCIA
49850632;02/01/2023;05:40:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;PORTO DE SANTANA;VIA PUBLICA;VIA PUBLICA
49850703;02/01/2023;06:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;NOVO PORTO CANOA;RUA TIÊ;RESIDÊNCIA
49850753;02/01/2023;04:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;SANTO ANDRE;Sem InformaçAo;VIA PUBLICA
49850853;02/01/2023;08:20:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;JARDIM AMERICA;AVINIDA MARIO GURGEL , BR 262;VIA PUBLICA
49850915;02/01/2023;08:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;SANTA BARBARA;Sem InformaçAo;VIA PUBLICA
49850915;02/01/2023;08:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;SANTA BARBARA;Sem InformaçAo;VIA PUBLICA
49850980;02/01/2023;12:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;LINHARES;INTERLAGOS;RUA CRISTOVAO COLOMBO;VIA PUBLICA
49850992;02/01/2023;13:00:00;VEICULO;ROUBADO;ES;CARIACICA;VILA CAJUEIRO;Sem InformaçAo;VIA PUBLICA
49851323;02/01/2023;23:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;COLINA DE LARANJEIRAS;AV EUDES SCHERRER DE SOUZA;VIA PUBLICA
49851821;02/01/2023;12:15:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;JOCKEY DE ITAPARICA;Sem InformaçAo;COMERCIO
49851948;02/01/2023;11:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;DIVINO ESPIRITO SANTO;AV LUCIANO DAS NEVES;VEICULO
49851958;02/01/2023;13:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ARIBIRI;RUA SAO LUIZ;VIA PUBLICA
49851958;02/01/2023;13:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ARIBIRI;RUA SAO LUIZ;VIA PUBLICA
49852267;02/01/2023;12:20:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;CENTRO;R. ENG. PINTO PACCA;OUTRO LOCAL
49852289;02/01/2023;08:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;LINHARES;TRES BARRAS;Sem InformaçAo;VIA PUBLICA
49852785;02/01/2023;14:40:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;RIO PRETO;ESTRADA DO KM18;RODOVIA ESTADUAL
49852785;02/01/2023;14:40:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;RIO PRETO;ESTRADA DO KM18;RODOVIA ESTADUAL
49852785;02/01/2023;14:40:00;VEICULO;ROUBADO;ES;SAO MATEUS;RIO PRETO;ESTRADA DO KM18;RODOVIA ESTADUAL
49852817;02/01/2023;13:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ARIBIRI;RUA EMYDIO FERREIRA SACRAMENTO;VIA PUBLICA
49852831;02/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;COBILANDIA;PRACA VEREADOR SEBASTIAO CIBIEN;REPARTICAO PUBLICA
49853067;02/01/2023;17:48:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;BOA VISTA;ERUNDINA BARBOSA DOS SANTOS;VIA PUBLICA
49854321;02/01/2023;Indeterminada;VEICULO;FURTADO;ES;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;RUA ROBERT MALTUS;VEICULO
49854817;02/01/2023;Indeterminada;VEICULO;FURTADO;ES;SERRA;JARDIM LIMOEIRO;AV DESEMBARGADOR MARIO DA SILVA NUNES;VEICULO
49854973;02/01/2023;21:47:00;APARELHOS TELEFONICOS;ROUBADO;ES;LINHARES;ZONA RURAL;AV. LAGOA DO AGUIAR;RESIDÊNCIA
49855068;02/01/2023;21:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;FORTE SAO JOAO;ANTES DE CHEGA NA CURSA DO SALDANHA;VIA PUBLICA
49855101;02/01/2023;21:00:00;APARELHOS TELEFONICOS;FURTADO;ES;ITAPEMIRIM;ITAOCA;RUA CANAA;RESIDÊNCIA
49855208;02/01/2023;21:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;TERMINAL INTERMODAL DA SERRA (TIMS);ROD DO CONTORNO;VIA PUBLICA
49855400;02/01/2023;22:00:00;VEICULO;FURTADO;ES;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;RUA AUGUSTO RUSCHI;VEICULO
49855537;02/01/2023;22:56:00;APARELHOS TELEFONICOS;ROUBADO;ES;ITAPEMIRIM;ITAOCA;RUA EDILSO CAETANO PAES;VIA PUBLICA
49856296;02/01/2023;23:50:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;JOSE DE ANCHIETA;RUA JACARANDAS;VIA PUBLICA
49856765;02/01/2023;21:25:00;APARELHOS TELEFONICOS;ROUBADO;ES;VIANA;UNIVERSAL;ESTRADA NOVA DE UNIVERSAL;VIA PUBLICA
49856765;02/01/2023;21:25:00;VEICULO;ROUBADO;ES;VIANA;UNIVERSAL;ESTRADA NOVA DE UNIVERSAL;VIA PUBLICA
49856769;02/01/2023;22:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;ALTO LAGE;Sem InformaçAo;VIA PUBLICA
49856769;02/01/2023;22:30:00;VEICULO;ROUBADO;ES;CARIACICA;ALTO LAGE;Sem InformaçAo;VIA PUBLICA
49856810;02/01/2023;23:35:00;VEICULO;ROUBADO;ES;CARIACICA;SANTA LUZIA;NAO INFORMADO;VIA PUBLICA
49857589;02/01/2023;14:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;APARECIDA;RUA SANTA CATARINA;VIA PUBLICA
49858054;02/01/2023;04:10:00;APARELHOS TELEFONICOS;ROUBADO;ES;CARIACICA;SANTO ANDRE;RUA SAO JOSE;VIA PUBLICA
49858063;02/01/2023;12:30:00;APARELHOS TELEFONICOS;FURTADO;ES;CARIACICA;CAMPO GRANDE;Sem InformaçAo;VIA PUBLICA
49858454;02/01/2023;10:30:00;BICICLETA;ROUBADO;ES;VITORIA;JARDIM DA PENHA;RUA DO CANAL;VIA PUBLICA
49858585;02/01/2023;22:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;CASTELANDIA;Sem InformaçAo;VIA PUBLICA
49858585;02/01/2023;22:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;CASTELANDIA;Sem InformaçAo;VIA PUBLICA
49858636;02/01/2023;14:10:00;APARELHOS TELEFONICOS;FURTADO;ES;VILA VELHA;PRAIA DA COSTA;AV. DR. OLIVIO LIRA;OUTRO LOCAL
49858708;02/01/2023;10:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;ESTANCIA MONAZITICA;Sem InformaçAo;VIA PUBLICA
49858833;02/01/2023;12:00:00;APARELHOS TELEFONICOS;FURTADO;ES;LINHARES;POVOACAO;CACIMBAS;OUTRO LOCAL
49858936;02/01/2023;21:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;PARQUE JACARAIPE;AV. NOSSA SENHORA DOS NAVEGANTES;VIA PUBLICA
49858936;02/01/2023;21:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;PARQUE JACARAIPE;AV. NOSSA SENHORA DOS NAVEGANTES;VIA PUBLICA
49858936;02/01/2023;21:30:00;VEICULO;ROUBADO;ES;SERRA;PARQUE JACARAIPE;AV. NOSSA SENHORA DOS NAVEGANTES;VIA PUBLICA
49859033;02/01/2023;21:30:00;BICICLETA;ROUBADO;ES;MARATAIZES;BARRA DE ITAPEMIRIM;AV. PRINCIPAL;VIA PUBLICA
49859033;02/01/2023;21:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;MARATAIZES;BARRA DE ITAPEMIRIM;AV. PRINCIPAL;VIA PUBLICA
49859230;02/01/2023;16:30:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;JABARAI;Sem InformaçAo;VIA PUBLICA
