Nº OCORRENCIA;DATA DO FATO;HORA DO FATO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;TIPO LOCAL
50273993;16/02/2023;11:21:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;JARDIM DA PENHA;PraCa / Parques / Area PUblica
50289875;17/02/2023;05:22:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;TARTARUGA;Via PUblica
50293480;17/02/2023;13:51:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MARATAIZES;BARRA DE ITAPEMIRIM;Estabelecimento Comercial
50304028;18/02/2023;10:18:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;SOTELANDIA;Via PUblica
50303783;18/02/2023;09:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;JAGUARE;FATIMA;Terreno Baldio / ConstruCAo / Mata
50303561;18/02/2023;09:19:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PANCAS;CENTRO;DomicIlio
50306647;18/02/2023;15:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;BOA VISTA I;Via PUblica
50332641;20/02/2023;22:28:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;PADRE JOSE DE ANCHIETA;Via PUblica
50324062;20/02/2023;08:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MARATAIZES;CENTRO;PraCa / Parques / Area PUblica
50328484;20/02/2023;14:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SAO PEDRO;Via PUblica
50344113;21/02/2023;23:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;NOVA ESPERANCA;Via PUblica
50344062;21/02/2023;23:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PARQUE JACARAIPE;PraCa / Parques / Area PUblica
50306474;22/02/2023;06:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BREJETUBA;SAO JORGE;Estabelecimento Comercial
50346991;22/02/2023;06:55:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;BARBADOS;Via PUblica
50347335;22/02/2023;08:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;SANTOS DUMONT;Via PUblica
50347335;22/02/2023;08:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;SANTOS DUMONT;Via PUblica
50344408;22/02/2023;00:14:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;SAO TORQUATO;Estabelecimento Comercial
50364258;23/02/2023;22:17:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;MONTE CRISTO;Via PUblica
50363090;23/02/2023;19:26:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;CARIACICA SEDE;Cachoeira
50363177;23/02/2023;19:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;CENTRO;Via PUblica
50398610;24/02/2023;13:22:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;MIMOSO DO SUL;GARRAFAO;Curso D'Agua
50364977;24/02/2023;00:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;ZONA RURAL;Via PUblica
50373472;24/02/2023;18:01:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;COBI DE BAIXO;Via PUblica
50384061;25/02/2023;22:17:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;RIO MARINHO;Via PUblica
50378854;25/02/2023;13:10:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;VILA CAJUEIRO;Cachoeira
50379237;25/02/2023;12:46:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;COBILANDIA;Terreno Baldio / ConstruCAo / Mata
50385762;26/02/2023;18:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;RIO MARINHO;Via PUblica
50391721;26/02/2023;19:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ECOPORANGA;VILA NOVA;DomicIlio
50385309;26/02/2023;02:13:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;NOVA VENECIA;CHAPADINHA;Via PUblica
50389994;26/02/2023;16:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PINHEIROS;GALILEIA;Via PUblica
50388928;26/02/2023;16:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;IDEAL;Estabelecimento Comercial
50387130;26/02/2023;09:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;BALNEARIO DE CARAPEBUS;Estabelecimento Comercial
50386777;26/02/2023;08:34:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;SERRA DOURADA I;DomicIlio
50386148;26/02/2023;04:47:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;RIVIERA DA BARRA;Via PUblica
50403372;27/02/2023;22:44:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BAIXO GUANDU;SAPUCAIA;DomicIlio
50393424;27/02/2023;00:14:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GOVERNADOR LINDENBERG;ZONA RURAL;DomicIlio
50401204;27/02/2023;17:07:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ITAPEMIRIM;CAMPO ACIMA;DomicIlio
50398262;27/02/2023;12:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SANTA MARIA DE JETIBA;ZONA RURAL;Curso D'Agua
50410695;28/02/2023;15:51:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;NOVO HORIZONTE;Via PUblica
50417039;01/03/2023;09:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;SAO GERALDO;Via PUblica
50415840;01/03/2023;06:52:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;CIDADE POMAR;Terreno Baldio / ConstruCAo / Mata
50424679;02/03/2023;00:09:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;VALE DOS REIS;Estabelecimento Comercial
50428442;02/03/2023;12:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO GABRIEL DA PALHA;JARDIM DE INFANCIA;Estabelecimento Comercial
50432201;02/03/2023;20:12:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;BOM SUCESSO;Via PUblica
50433585;02/03/2023;22:58:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;JARDIM DO VALE;Estabelecimento Comercial
50434515;03/03/2023;05:35:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;MANGUEIRA;Via PUblica
50443364;03/03/2023;21:59:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PARQUE RESIDENCIAL TUBARAO;PraCa / Parques / Area PUblica
50446498;04/03/2023;08:56:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;FLEXAL I;Via PUblica
50445183;04/03/2023;03:36:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;DOMINGOS MARTINS;DISTRITO DE SANTA TEREZINHA;DomicIlio
50446120;04/03/2023;07:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;NOVA VENECIA;CORREGO BOA VISTA;Terreno Baldio / ConstruCAo / Mata
50459277;05/03/2023;13:55:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;NOVA VENECIA;ZONA RURAL;Via PUblica
50462212;05/03/2023;20:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PARQUE JACARAIPE;Via PUblica
50456104;05/03/2023;03:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VIANA;UNIVERSAL;DomicIlio
50471974;06/03/2023;18:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PIUMA;SAO JOAO DE IBITIBA;Via PUblica
50469017;06/03/2023;13:40:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;RIO MARINHO;PraCa / Parques / Area PUblica
50475357;07/03/2023;02:44:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;NOVO MEXICO;Terreno Baldio / ConstruCAo / Mata
50490747;08/03/2023;15:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BAIXO GUANDU;ROSARIO II;Via PUblica
50490118;08/03/2023;14:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BOA ESPERANCA;ZONA RURAL;Terreno Baldio / ConstruCAo / Mata
50487025;08/03/2023;09:29:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;VICENTE SOELA;DomicIlio
50485780;08/03/2023;02:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;JABOUR;Via PUblica
50495477;09/03/2023;01:07:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;SAO JOAO BATISTA;Via PUblica
50504975;09/03/2023;23:34:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;SANTA MARGARIDA;DomicIlio
50504259;09/03/2023;21:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;REGENCIA;Via PUblica
50498207;09/03/2023;10:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;BARRAMARES;Ignorado
50515935;10/03/2023;22:46:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ALTO RIO NOVO;SANTA BARBARA II;Via PUblica
50514035;10/03/2023;18:40:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;ITACIBA;Via PUblica
50521887;11/03/2023;14:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;JARDIM AMERICA;Via PUblica
50525036;11/03/2023;18:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;NOVO HORIZONTE;Via PUblica
50517763;11/03/2023;03:46:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;JABURUNA;Via PUblica
50526340;12/03/2023;07:47:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;SANTA CRUZ;Via PUblica
50526474;12/03/2023;11:21:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;SERNANBY;Via PUblica
50527472;12/03/2023;00:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;CENTRO;Via PUblica
50536994;13/03/2023;00:36:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;DIVINOPOLIS;Via PUblica
50540323;13/03/2023;12:19:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;JABURUNA;Via PUblica
50545989;13/03/2023;22:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ZUMBI DOS PALMARES;Via PUblica
50555833;14/03/2023;22:59:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CONCEICAO DA BARRA;ZONA RURAL;DomicIlio
50563947;15/03/2023;19:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;JACUPEMBA;Via PUblica
50557076;15/03/2023;08:03:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;BELA VISTA;DomicIlio
50556714;15/03/2023;06:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;JARDIM LAGUNA;Via PUblica
50562328;15/03/2023;17:21:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;FEU ROSA;DomicIlio
50574945;16/03/2023;21:40:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;AGUA DOCE DO NORTE;CRISTO REI;DomicIlio
50575795;16/03/2023;23:36:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;AGUA DOCE DO NORTE;PRATINHA;Via PUblica
50570518;16/03/2023;14:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BAIXO GUANDU;ZONA RURAL;Terreno Baldio / ConstruCAo / Mata
50566539;16/03/2023;06:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;NOVA GUARAPARI;Via PUblica
50570730;16/03/2023;14:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;ILHA DO PRINCIPE;Via PUblica
50570730;16/03/2023;14:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;ILHA DO PRINCIPE;Via PUblica
50576204;17/03/2023;01:03:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ALEGRE;CAFE;Via PUblica
50578554;17/03/2023;10:24:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;ZONA RURAL;Curso D'Agua
50576703;17/03/2023;05:39:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PINHEIROS;JARDIM PLANALTO;Via PUblica
50586704;18/03/2023;02:01:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;ALTO UNIAO;Via PUblica
50594853;18/03/2023;21:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;FUNDAO;PRAIA GRANDE;Via PUblica
50594262;18/03/2023;20:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;SAO PEDRO;Via PUblica
50598250;19/03/2023;07:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;NOVA ESPERANCA II;Via PUblica
50598897;19/03/2023;09:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ITAGUACU;BARRO PRETO;Via PUblica
50598897;19/03/2023;09:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ITAGUACU;BARRO PRETO;Via PUblica
50598415;19/03/2023;08:09:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO GABRIEL DA PALHA;SAO SEBASTIAO;DomicIlio
50602741;19/03/2023;17:24:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PLANALTO SERRANO;Via PUblica
50603421;19/03/2023;18:52:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;RESIDENCIAL JACARAIPE;Via PUblica
50604736;19/03/2023;21:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;SAO TORQUATO;DomicIlio
50606253;20/03/2023;00:49:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CASTELO;ESPLANADA;Via PUblica
50606754;20/03/2023;05:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;AEROPORTO;Via PUblica
50603212;20/03/2023;02:36:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;IBATIBA;CENTRO;Estabelecimento Comercial
50617341;21/03/2023;07:29:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;LAGOA DO MEIO;Terreno Baldio / ConstruCAo / Mata
50450640;21/03/2023;07:03:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA PAVAO;ZONA RURAL;Via PUblica
50616981;21/03/2023;05:52:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;XURY;Via PUblica
50635593;22/03/2023;21:30:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;BEBEDOURO;Via PUblica
50626746;22/03/2023;04:30:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;CRISTAL DO NORTE;Estabelecimento Comercial
50635692;22/03/2023;21:47:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;GURIRI;Via PUblica
50643212;23/03/2023;15:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PLANALTO SERRANO;Outros Locais
50640894;23/03/2023;12:22:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;SALVADOR;Via PUblica
50654676;24/03/2023;17:36:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;PRAIA DO SAUE;Terreno Baldio / ConstruCAo / Mata
50656207;24/03/2023;23:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;VILAGE DA LUZ;Estabelecimento Comercial
50649047;24/03/2023;09:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VIANA;PRIMAVERA;DomicIlio
50658154;25/03/2023;00:39:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BARRA DE SAO FRANCISCO;COLINA;DomicIlio
50658700;25/03/2023;04:34:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;MONTE BELO;Estabelecimento Comercial
50659339;25/03/2023;05:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;ADALBERTO SIMAO NADER;Via PUblica
50666628;25/03/2023;20:18:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;SANTA CRUZ;Estabelecimento Comercial
50658293;25/03/2023;01:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SANTA MARIA DE JETIBA;CENTRO;PraCa / Parques / Area PUblica
50677721;26/03/2023;23:10:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ARACRUZ;NOVA CONQUISTA II;Via PUblica
50669667;26/03/2023;02:59:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;SOTURNO;DomicIlio
50671897;26/03/2023;11:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;ITACIBA;Via PUblica
50676243;26/03/2023;20:10:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;SAYONARA;DomicIlio
50676243;26/03/2023;20:10:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;SAYONARA;DomicIlio
50684706;27/03/2023;15:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BAIXO GUANDU;CENTRO;Via PUblica
50684577;27/03/2023;15:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;JAGUARE;CENTRO;Via PUblica
50678849;27/03/2023;06:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;CENTRO;Estabelecimento de SaUde
50687377;27/03/2023;20:19:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SANTA MARIA DE JETIBA;VILA JETIBA;Via PUblica
50678427;27/03/2023;06:30:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;DOM JOAO BATISTA;DomicIlio
50688197;28/03/2023;00:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUACUI;APARECIDA;DomicIlio
50698403;28/03/2023;22:29:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;NESTOR GOMES;DomicIlio
50692905;28/03/2023;12:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;SALVADOR;Terreno Baldio / ConstruCAo / Mata
50690041;28/03/2023;07:53:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;PONTAL DAS GARCAS;Via PUblica
50709735;29/03/2023;23:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;NOSSA SENHORA APARECIDA;Estabelecimento Comercial
50697566;29/03/2023;01:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;SHELL;Via PUblica
50698947;29/03/2023;00:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;JARDIM MARILANDIA;Via PUblica
50711486;30/03/2023;08:41:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ULISSES GUIMARAES;Via PUblica
50722539;31/03/2023;10:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;FUNDAO;ZONA RURAL;Terreno Baldio / ConstruCAo / Mata
50723758;31/03/2023;12:02:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;SETIBA;Terreno Baldio / ConstruCAo / Mata
50725786;31/03/2023;15:26:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SANTO ANDRE;Via PUblica
50737944;01/04/2023;18:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;CAMATA;Via PUblica
50747022;02/04/2023;19:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;SAO MIGUEL;PraCa / Parques / Area PUblica
50741054;02/04/2023;01:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CONCEICAO DA BARRA;VILA DOS PESCADORES;Via PUblica
50741952;02/04/2023;05:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GOVERNADOR LINDENBERG;ZONA RURAL;Via PUblica
